,Data,Sleep_Stage,Cata,Sample_number,Area
0,0.1841183339820942,Rem,Recall,5,Cerebellar EEG
0,0.975581271897229,Wakefulness,Sensitivity,5,Cerebellar EEG
0,0.37326418899452607,Nrem,Sensitivity,5,Cerebellar EEG
0,0.1841183339820942,Rem,Sensitivity,5,Cerebellar EEG
0,0.43394900622364985,Wakefulness,Specificity,5,Cerebellar EEG
0,0.9589514225369611,Nrem,Specificity,5,Cerebellar EEG
0,0.9825007722919809,Rem,Specificity,5,Cerebellar EEG
0,0.8059674123749149,Wakefulness,Precision,5,EMG
0,0.5615923101034375,Nrem,Precision,5,EMG
0,0.21830985915492956,Rem,Precision,5,EMG
0,0.8166206603673426,Wakefulness,Recall,5,EMG
0,0.6194180351483722,Nrem,Recall,5,EMG
0,0.02413390424289607,Rem,Recall,5,EMG
0,0.8166206603673426,Wakefulness,Sensitivity,5,EMG
0,0.6194180351483722,Nrem,Sensitivity,5,EMG
0,0.02413390424289607,Rem,Sensitivity,5,EMG
0,0.6282373017466372,Wakefulness,Specificity,5,EMG
0,0.7914772021369114,Nrem,Specificity,5,EMG
0,0.995965910123385,Rem,Specificity,5,EMG
0,0.9352883449748889,Wakefulness,Precision,5,Cerebral EEG
0,0.7414320987654321,Nrem,Precision,5,Cerebral EEG
0,0.8284023668639053,Rem,Precision,5,Cerebral EEG
0,0.8603440951571792,Wakefulness,Recall,5,Cerebral EEG
0,0.8683632157316368,Nrem,Recall,5,Cerebral EEG
0,0.8465608465608465,Rem,Recall,5,Cerebral EEG
0,0.8603440951571792,Wakefulness,Sensitivity,5,Cerebral EEG
0,0.8683632157316368,Nrem,Sensitivity,5,Cerebral EEG
0,0.8465608465608465,Rem,Sensitivity,5,Cerebral EEG
0,0.8875401284109149,Wakefulness,Specificity,5,Cerebral EEG
0,0.870106673282064,Nrem,Specificity,5,Cerebral EEG
0,0.9915565745896568,Rem,Specificity,5,Cerebral EEG
0,0.790760396728728,Wakefulness,Precision,5,Cerebellar EEG
0,0.779077572154569,Nrem,Precision,5,Cerebellar EEG
0,0.3188284518828452,Rem,Precision,5,Cerebellar EEG
0,0.9652718776550552,Wakefulness,Recall,5,Cerebellar EEG
0,0.4699248120300752,Nrem,Recall,5,Cerebellar EEG
0,0.14399092970521543,Rem,Recall,5,Cerebellar EEG
0,0.9652718776550552,Wakefulness,Sensitivity,5,Cerebellar EEG
0,0.4699248120300752,Nrem,Sensitivity,5,Cerebellar EEG
0,0.14399092970521543,Rem,Sensitivity,5,Cerebellar EEG
0,0.5174558587479936,Wakefulness,Specificity,5,Cerebellar EEG
0,0.9428429670057058,Nrem,Specificity,5,Cerebellar EEG
0,0.9851876114568549,Rem,Specificity,5,Cerebellar EEG
0,0.8472880463401791,Wakefulness,Precision,5,EMG
0,0.5419201725997842,Nrem,Precision,5,EMG
0,0.24691358024691357,Rem,Precision,5,EMG
0,0.7689570943075617,Wakefulness,Recall,5,EMG
0,0.7263736263736263,Nrem,Recall,5,EMG
0,0.022675736961451247,Rem,Recall,5,EMG
0,0.7689570943075617,Wakefulness,Sensitivity,5,EMG
0,0.7263736263736263,Nrem,Sensitivity,5,EMG
0,0.022675736961451247,Rem,Sensitivity,5,EMG
0,0.7381621187800963,Wakefulness,Specificity,5,EMG
0,0.7366410320019846,Nrem,Specificity,5,EMG
0,0.9966699421334206,Rem,Specificity,5,EMG
0,0.8757468631746664,Wakefulness,Precision,5,Cerebral EEG
0,0.8374844333748444,Nrem,Precision,5,Cerebral EEG
0,0.7572196104768301,Rem,Precision,5,Cerebral EEG
0,0.9309779012835782,Wakefulness,Recall,5,Cerebral EEG
0,0.699347160436767,Nrem,Recall,5,Cerebral EEG
0,0.8998403830806065,Rem,Recall,5,Cerebral EEG
0,0.9309779012835782,Wakefulness,Sensitivity,5,Cerebral EEG
0,0.699347160436767,Nrem,Sensitivity,5,Cerebral EEG
0,0.8998403830806065,Rem,Sensitivity,5,Cerebral EEG
0,0.7481201110269997,Wakefulness,Specificity,5,Cerebral EEG
0,0.9416991387654812,Nrem,Specificity,5,Cerebral EEG
0,0.9868769738991542,Rem,Specificity,5,Cerebral EEG
0,0.8119578966389591,Wakefulness,Precision,5,Cerebellar EEG
0,0.765032154340836,Nrem,Precision,5,Cerebellar EEG
0,0.3355855855855856,Rem,Precision,5,Cerebellar EEG
0,0.9513563583432579,Wakefulness,Recall,5,Cerebellar EEG
0,0.5498295684326073,Nrem,Recall,5,Cerebellar EEG
0,0.1189146049481245,Rem,Recall,5,Cerebellar EEG
0,0.9513563583432579,Wakefulness,Sensitivity,5,Cerebellar EEG
0,0.5498295684326073,Nrem,Sensitivity,5,Cerebellar EEG
0,0.1189146049481245,Rem,Sensitivity,5,Cerebellar EEG
0,0.5798637395912187,Wakefulness,Specificity,5,Cerebellar EEG
0,0.9274527810180934,Nrem,Specificity,5,Cerebellar EEG
0,0.9892910298762115,Rem,Specificity,5,Cerebellar EEG
0,0.7745042748539331,Wakefulness,Precision,5,EMG
0,0.6540819045926979,Nrem,Precision,5,EMG
0,0.13753723932472692,Rem,Precision,5,EMG
0,0.9086409951038772,Wakefulness,Recall,5,EMG
0,0.4253856375296089,Nrem,Recall,5,EMG
0,0.11053471667996807,Rem,Recall,5,EMG
0,0.9086409951038772,Wakefulness,Sensitivity,5,EMG
0,0.4253856375296089,Nrem,Sensitivity,5,EMG
0,0.11053471667996807,Rem,Sensitivity,5,EMG
0,0.4955336866010598,Wakefulness,Specificity,5,EMG
0,0.9033531061527388,Nrem,Specificity,5,EMG
0,0.9684720659236941,Rem,Specificity,5,EMG
0,0.9275322536371122,Wakefulness,Precision,5,Cerebral EEG
0,0.7920052353165731,Nrem,Precision,5,Cerebral EEG
0,0.8086833745146488,Rem,Precision,5,Cerebral EEG
0,0.8954551477408241,Wakefulness,Recall,5,Cerebral EEG
0,0.8438698431144683,Nrem,Recall,5,Cerebral EEG
0,0.8629001883239171,Rem,Recall,5,Cerebral EEG
0,0.8954551477408241,Wakefulness,Sensitivity,5,Cerebral EEG
